name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
六师附小 森兰商都 绿地体育公园 地铁6号线,60585元/平,530,中冶尚城,金桥,87.48平,
南北两房，边套全明，交通便利，满五年，有钥匙,55687元/平,258,上南八村,世博,46.33平,
稀缺两房 房型正气 采光充足 双南户型 带双天井,48387元/平,315,东陆新村六街坊,金桥,65.1平,
金谊河畔：板式飞机三房，南北双阳台，诚意出售,56551元/平,760,金谊河畔,三林,134.39平,
此房实用面积非常大 次新房 近地铁 好学校,54163元/平,480,东方城市绿州,川沙,88.62平,
精装健康小居室，紧邻湖畔，黄金楼层随时可入住,65519元/平,278,东陆新村五街坊,金桥,42.43平,
南北通透户型，临河位置，黄金楼层，业主诚意出售,44122元/平,390,金唐公寓,唐镇,88.39平,
大唐盛世花园，品质装修，火爆热销，业主信赖,85394元/平,1550,大唐盛世花园,花木,181.51平,
富特五村，成熟社区，满五年少税，抢手火热,40600元/平,230,富特五村,外高桥,56.65平,
稀缺两房 房型正气 采光充足 双南户型 带双天井,48387元/平,315,东陆新村六街坊,金桥,65.1平,
南北两房，边套全明，交通便利，满五年，有钥匙,55687元/平,258,上南八村,世博,46.33平,
金谊河畔：板式飞机三房，南北双阳台，诚意出售,56551元/平,760,金谊河畔,三林,134.39平,
六师附小 森兰商都 绿地体育公园 地铁6号线,60585元/平,530,中冶尚城,金桥,87.48平,
精装健康小居室，紧邻湖畔，黄金楼层随时可入住,65519元/平,278,东陆新村五街坊,金桥,42.43平,
南北通透户型，临河位置，黄金楼层，业主诚意出售,44122元/平,390,金唐公寓,唐镇,88.39平,
大唐盛世花园，品质装修，火爆热销，业主信赖,85394元/平,1550,大唐盛世花园,花木,181.51平,
富特五村，成熟社区，满五年少税，抢手火热,40600元/平,230,富特五村,外高桥,56.65平,
六师附小 森兰商都 绿地体育公园 地铁6号线,60585元/平,530,中冶尚城,金桥,87.48平,
南北两房，边套全明，交通便利，满五年，有钥匙,55687元/平,258,上南八村,世博,46.33平,
配套完善，紧邻地铁，满五年少税，上门实勘,36976元/平,360,华港花园,川沙,97.36平,
东五小区（浦东），满两年，一链倾城，热门带看,44339元/平,235,东五小区（浦东）,金桥,53.0平,
御景华庭，业主信赖，紧邻地铁，成熟社区,43246元/平,600,御景华庭,川沙,138.74平,
小区中心位置不靠马路，送20平花园，有钥匙随时看,51603元/平,420,保利金爵公寓,唐镇,81.39平,
东方滨港园 两房两厅两卫 房型正气 位置佳,67134元/平,650,东方滨港园,三林,96.82平,
世纪公园08年高档小区，满五唯一，交通便利,70427元/平,1050,锦绣前程阳光苑,花木,149.09平,
精装健康小居室，紧邻湖畔，黄金楼层随时可入住,65519元/平,278,东陆新村五街坊,金桥,42.43平,
满5税费少，降价房源，业主信赖，链家房源,58784元/平,700,名嘉新苑,三林,119.08平,
安置房、地铁口上门实勘、业主诚意出售、成熟社区,46944元/平,504,古银杏苑,三林,107.36平,
一梯两户 全明双南大两房 小区央座,52179元/平,395,银山小区,金杨,75.7平,
潼港八村 南北两房 满五唯一 带天井 西校,33126元/平,235,潼港八村,外高桥,70.94平,
福外+冰厂田+建平西 位置好 楼层好 诚意出售,108549元/平,518,梅园六街坊,源深,47.72平,
南北通透户型，临河位置，黄金楼层，业主诚意出售,44122元/平,390,金唐公寓,唐镇,88.39平,
大唐盛世花园，品质装修，火爆热销，业主信赖,85394元/平,1550,大唐盛世花园,花木,181.51平,
此房实用面积非常大 次新房 近地铁 好学校,54163元/平,480,东方城市绿州,川沙,88.62平,
配套完善，紧邻地铁，满五年少税，上门实勘,36976元/平,360,华港花园,川沙,97.36平,
东五小区（浦东），满两年，一链倾城，热门带看,44339元/平,235,东五小区（浦东）,金桥,53.0平,
御景华庭，业主信赖，紧邻地铁，成熟社区,43246元/平,600,御景华庭,川沙,138.74平,
小区中心位置不靠马路，送20平花园，有钥匙随时看,51603元/平,420,保利金爵公寓,唐镇,81.39平,
满5税费少，降价房源，业主信赖，链家房源,58784元/平,700,名嘉新苑,三林,119.08平,
安置房、地铁口上门实勘、业主诚意出售、成熟社区,46944元/平,504,古银杏苑,三林,107.36平,
一梯两户 全明双南大两房 小区央座,52179元/平,395,银山小区,金杨,75.7平,
潼港八村 南北两房 满五唯一 带天井 西校,33126元/平,235,潼港八村,外高桥,70.94平,
福外+冰厂田+建平西 位置好 楼层好 诚意出售,108549元/平,518,梅园六街坊,源深,47.72平,
稀缺两房 房型正气 采光充足 双南户型 带双天井,48387元/平,315,东陆新村六街坊,金桥,65.1平,
金谊河畔：板式飞机三房，南北双阳台，诚意出售,56551元/平,760,金谊河畔,三林,134.39平,
此房实用面积非常大 次新房 近地铁 好学校,54163元/平,480,东方城市绿州,川沙,88.62平,
配套完善，紧邻地铁，满五年少税，上门实勘,36976元/平,360,华港花园,川沙,97.36平,
东五小区（浦东），满两年，一链倾城，热门带看,44339元/平,235,东五小区（浦东）,金桥,53.0平,
精装健康小居室，紧邻湖畔，黄金楼层随时可入住,65519元/平,278,东陆新村五街坊,金桥,42.43平,
满5税费少，降价房源，业主信赖，链家房源,58784元/平,700,名嘉新苑,三林,119.08平,
安置房、地铁口上门实勘、业主诚意出售、成熟社区,46944元/平,504,古银杏苑,三林,107.36平,
一梯两户 全明双南大两房 小区央座,52179元/平,395,银山小区,金杨,75.7平,
潼港八村 南北两房 满五唯一 带天井 西校,33126元/平,235,潼港八村,外高桥,70.94平,
福外+冰厂田+建平西 位置好 楼层好 诚意出售,108549元/平,518,梅园六街坊,源深,47.72平,
南北通透户型，临河位置，黄金楼层，业主诚意出售,44122元/平,390,金唐公寓,唐镇,88.39平,
大唐盛世花园，品质装修，火爆热销，业主信赖,85394元/平,1550,大唐盛世花园,花木,181.51平,
富特五村，成熟社区，满五年少税，抢手火热,40600元/平,230,富特五村,外高桥,56.65平,
精装健康小居室，紧邻湖畔，黄金楼层随时可入住,65519元/平,278,东陆新村五街坊,金桥,42.43平,
富特五村，成熟社区，满五年少税，抢手火热,40600元/平,230,富特五村,外高桥,56.65平,
稀缺两房 房型正气 采光充足 双南户型 带双天井,48387元/平,315,东陆新村六街坊,金桥,65.1平,
南北两房，边套全明，交通便利，满五年，有钥匙,55687元/平,258,上南八村,世博,46.33平,
金谊河畔：板式飞机三房，南北双阳台，诚意出售,56551元/平,760,金谊河畔,三林,134.39平,
六师附小 森兰商都 绿地体育公园 地铁6号线,60585元/平,530,中冶尚城,金桥,87.48平,
此房实用面积非常大 次新房 近地铁 好学校,54163元/平,480,东方城市绿州,川沙,88.62平,
配套完善，紧邻地铁，满五年少税，上门实勘,36976元/平,360,华港花园,川沙,97.36平,
东方滨港园 两房两厅两卫 房型正气 位置佳,67134元/平,650,东方滨港园,三林,96.82平,
世纪公园08年高档小区，满五唯一，交通便利,70427元/平,1050,锦绣前程阳光苑,花木,149.09平,
南北通透户型，临河位置，黄金楼层，业主诚意出售,44122元/平,390,金唐公寓,唐镇,88.39平,
大唐盛世花园，品质装修，火爆热销，业主信赖,85394元/平,1550,大唐盛世花园,花木,181.51平,
富特五村，成熟社区，满五年少税，抢手火热,40600元/平,230,富特五村,外高桥,56.65平,
稀缺两房 房型正气 采光充足 双南户型 带双天井,48387元/平,315,东陆新村六街坊,金桥,65.1平,
南北两房，边套全明，交通便利，满五年，有钥匙,55687元/平,258,上南八村,世博,46.33平,
御景华庭，业主信赖，紧邻地铁，成熟社区,43246元/平,600,御景华庭,川沙,138.74平,
小区中心位置不靠马路，送20平花园，有钥匙随时看,51603元/平,420,保利金爵公寓,唐镇,81.39平,
东方滨港园 两房两厅两卫 房型正气 位置佳,67134元/平,650,东方滨港园,三林,96.82平,
世纪公园08年高档小区，满五唯一，交通便利,70427元/平,1050,锦绣前程阳光苑,花木,149.09平,
精装健康小居室，紧邻湖畔，黄金楼层随时可入住,65519元/平,278,东陆新村五街坊,金桥,42.43平,
满5税费少，降价房源，业主信赖，链家房源,58784元/平,700,名嘉新苑,三林,119.08平,
安置房、地铁口上门实勘、业主诚意出售、成熟社区,46944元/平,504,古银杏苑,三林,107.36平,
一梯两户 全明双南大两房 小区央座,52179元/平,395,银山小区,金杨,75.7平,
潼港八村 南北两房 满五唯一 带天井 西校,33126元/平,235,潼港八村,外高桥,70.94平,
福外+冰厂田+建平西 位置好 楼层好 诚意出售,108549元/平,518,梅园六街坊,源深,47.72平,
南北通透户型，临河位置，黄金楼层，业主诚意出售,44122元/平,390,金唐公寓,唐镇,88.39平,
大唐盛世花园，品质装修，火爆热销，业主信赖,85394元/平,1550,大唐盛世花园,花木,181.51平,
稀缺两房 房型正气 采光充足 双南户型 带双天井,48387元/平,315,东陆新村六街坊,金桥,65.1平,
南北两房，边套全明，交通便利，满五年，有钥匙,55687元/平,258,上南八村,世博,46.33平,
金谊河畔：板式飞机三房，南北双阳台，诚意出售,56551元/平,760,金谊河畔,三林,134.39平,
六师附小 森兰商都 绿地体育公园 地铁6号线,60585元/平,530,中冶尚城,金桥,87.48平,
满5税费少，降价房源，业主信赖，链家房源,58784元/平,700,名嘉新苑,三林,119.08平,
安置房、地铁口上门实勘、业主诚意出售、成熟社区,46944元/平,504,古银杏苑,三林,107.36平,
一梯两户 全明双南大两房 小区央座,52179元/平,395,银山小区,金杨,75.7平,
潼港八村 南北两房 满五唯一 带天井 西校,33126元/平,235,潼港八村,外高桥,70.94平,
福外+冰厂田+建平西 位置好 楼层好 诚意出售,108549元/平,518,梅园六街坊,源深,47.72平,
南北通透户型，临河位置，黄金楼层，业主诚意出售,44122元/平,390,金唐公寓,唐镇,88.39平,
东五小区（浦东），满两年，一链倾城，热门带看,44339元/平,235,东五小区（浦东）,金桥,53.0平,
御景华庭，业主信赖，紧邻地铁，成熟社区,43246元/平,600,御景华庭,川沙,138.74平,
小区中心位置不靠马路，送20平花园，有钥匙随时看,51603元/平,420,保利金爵公寓,唐镇,81.39平,
东方滨港园 两房两厅两卫 房型正气 位置佳,67134元/平,650,东方滨港园,三林,96.82平,
世纪公园08年高档小区，满五唯一，交通便利,70427元/平,1050,锦绣前程阳光苑,花木,149.09平,
金谊河畔：板式飞机三房，南北双阳台，诚意出售,56551元/平,760,金谊河畔,三林,134.39平,
六师附小 森兰商都 绿地体育公园 地铁6号线,60585元/平,530,中冶尚城,金桥,87.48平,
此房实用面积非常大 次新房 近地铁 好学校,54163元/平,480,东方城市绿州,川沙,88.62平,
配套完善，紧邻地铁，满五年少税，上门实勘,36976元/平,360,华港花园,川沙,97.36平,
东五小区（浦东），满两年，一链倾城，热门带看,44339元/平,235,东五小区（浦东）,金桥,53.0平,
御景华庭，业主信赖，紧邻地铁，成熟社区,43246元/平,600,御景华庭,川沙,138.74平,
满5税费少，降价房源，业主信赖，链家房源,58784元/平,700,名嘉新苑,三林,119.08平,
安置房、地铁口上门实勘、业主诚意出售、成熟社区,46944元/平,504,古银杏苑,三林,107.36平,
一梯两户 全明双南大两房 小区央座,52179元/平,395,银山小区,金杨,75.7平,
潼港八村 南北两房 满五唯一 带天井 西校,33126元/平,235,潼港八村,外高桥,70.94平,
福外+冰厂田+建平西 位置好 楼层好 诚意出售,108549元/平,518,梅园六街坊,源深,47.72平,
南北通透户型，临河位置，黄金楼层，业主诚意出售,44122元/平,390,金唐公寓,唐镇,88.39平,
大唐盛世花园，品质装修，火爆热销，业主信赖,85394元/平,1550,大唐盛世花园,花木,181.51平,
精装健康小居室，紧邻湖畔，黄金楼层随时可入住,65519元/平,278,东陆新村五街坊,金桥,42.43平,
富特五村，成熟社区，满五年少税，抢手火热,40600元/平,230,富特五村,外高桥,56.65平,
稀缺两房 房型正气 采光充足 双南户型 带双天井,48387元/平,315,东陆新村六街坊,金桥,65.1平,
南北两房，边套全明，交通便利，满五年，有钥匙,55687元/平,258,上南八村,世博,46.33平,
金谊河畔：板式飞机三房，南北双阳台，诚意出售,56551元/平,760,金谊河畔,三林,134.39平,
六师附小 森兰商都 绿地体育公园 地铁6号线,60585元/平,530,中冶尚城,金桥,87.48平,
此房实用面积非常大 次新房 近地铁 好学校,54163元/平,480,东方城市绿州,川沙,88.62平,
配套完善，紧邻地铁，满五年少税，上门实勘,36976元/平,360,华港花园,川沙,97.36平,
此房实用面积非常大 次新房 近地铁 好学校,54163元/平,480,东方城市绿州,川沙,88.62平,
配套完善，紧邻地铁，满五年少税，上门实勘,36976元/平,360,华港花园,川沙,97.36平,
东五小区（浦东），满两年，一链倾城，热门带看,44339元/平,235,东五小区（浦东）,金桥,53.0平,
御景华庭，业主信赖，紧邻地铁，成熟社区,43246元/平,600,御景华庭,川沙,138.74平,
小区中心位置不靠马路，送20平花园，有钥匙随时看,51603元/平,420,保利金爵公寓,唐镇,81.39平,
